,y_11,y_12,y_13,y,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,ADM2_EN
146,Very High,Very High,Very High,Very High,Very High,Very High,Very High,No,0,Physical business,0,0,1,Dagoreti
147,High,Very High,Very High,Very High,High,Very High,Very High,No,0,Online business,3,0,0,Dagoreti
148,Medium,High,High,High,High,High,High,No,0,Physical business,0,0,0,Dagoreti
149,High,Medium,High,High,High,High,Medium,Yes,0,Physical business,1,0,0,Dagoreti
150,Very High,Very High,High,Very High,High,Very High,Very High,Yes,0,Online business,0,0,0,Dagoreti
151,High,High,High,High,Medium,High,Medium,No,0,Physical business,0,0,0,Dagoreti
153,Low,Low,Very Low,Low,Very Low,Low,Low,No,0,Online business,4,0,1,Dagoreti
154,Low,Low,Low,Low,Very Low,Low,Low,No,0,Online business,8,0,1,Dagoreti
157,High,High,High,High,High,High,High,No,0,Online business,2,0,1,Dagoreti
158,High,High,Medium,High,High,High,High,No,1,Physical business,1,0,1,Dagoreti
159,Medium,Low,Low,Low,Low,Low,Medium,No,0,Physical business,2,0,1,Dagoreti
160,Very High,High,High,High,High,High,High,No,0,Physical business,4,0,1,Dagoreti
161,High,High,Medium,High,Medium,High,High,No,0,Physical business,4,0,1,Dagoreti
162,High,High,Very High,High,Very High,High,High,Yes,0,Online business,0,0,1,Dagoreti
167,Very High,Very High,Very High,Very High,High,High,High,Yes,3,Online business,3,0,0,Dagoreti
168,High,High,High,High,High,High,High,Yes,0,Physical business,7,0,1,Dagoreti
169,High,High,High,High,High,High,High,No,2,Physical business,2,0,0,Dagoreti
174,Very High,High,High,High,High,Very High,High,No,0,Online business,0,0,1,Dagoreti
176,High,Very High,Medium,High,Medium,High,High,Yes,0,Physical business,0,0,0,Dagoreti
266,High,Medium,High,High,High,High,High,Yes,7,Online business,10,0,1,Dagoreti
289,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Yes,8,Online business,10,0,1,Dagoreti
600,Medium,Medium,High,Medium,High,High,High,Yes,3,Online business,3,0,1,Dagoreti
601,High,High,High,High,High,High,High,Yes,3,Online business,3,0,0,Dagoreti
48,Medium,High,Medium,Medium,Medium,Medium,Medium,No,4,Physical business,6,0,1,Embakasi
77,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,0,Physical business,6,0,1,Embakasi
78,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,0,Physical business,4,0,1,Embakasi
79,Medium,Medium,Medium,Medium,High,High,Medium,No,0,Physical business,3,0,1,Embakasi
80,Medium,Medium,Medium,Medium,Medium,High,Medium,No,0,Physical business,2,0,1,Embakasi
83,High,High,Very High,High,Very High,Very High,Very High,No,0,Physical business,3,0,0,Embakasi
84,Very High,Very High,Very High,Very High,Very High,Very High,High,No,2,Physical business,3,1,1,Embakasi
85,High,High,High,High,High,High,High,No,3,Online business,6,0,1,Embakasi
86,High,High,High,High,High,High,High,No,3,Online business,8,1,1,Embakasi
87,High,High,High,High,High,High,High,No,2,Physical business,2,0,1,Embakasi
89,High,Medium,Very High,High,High,High,High,No,0,Online business,6,0,1,Embakasi
90,Medium,Medium,High,Medium,High,High,High,No,5,Physical business,10,0,1,Embakasi
91,Medium,Medium,High,Medium,High,High,High,No,3,Physical business,4,0,1,Embakasi
92,High,High,High,High,Very High,High,High,No,0,Physical business,1,0,1,Embakasi
94,Medium,Medium,High,Medium,High,High,High,No,0,Physical business,6,0,1,Embakasi
95,Very High,Very High,High,Very High,High,Very High,High,No,18,Online business,18,1,1,Embakasi
96,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,0,Physical business,2,0,1,Embakasi
98,Medium,Medium,High,Medium,Medium,Medium,Medium,No,5,Online business,10,0,1,Embakasi
99,Medium,Medium,Medium,Medium,Medium,High,Medium,No,0,Physical business,4,0,1,Embakasi
100,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,2,Physical business,4,0,1,Embakasi
105,High,High,High,High,High,High,High,No,4,Online business,7,0,1,Embakasi
106,High,High,High,High,High,High,High,No,0,Online business,2,0,1,Embakasi
111,High,High,High,High,High,High,High,No,2,Physical business,2,0,1,Embakasi
112,High,High,High,High,High,High,High,No,3,Online business,3,0,1,Embakasi
117,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,3,Online business,4,0,1,Embakasi
118,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,0,Physical business,4,0,1,Embakasi
120,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,1,Online business,3,0,1,Embakasi
130,Medium,Medium,Medium,Medium,Medium,High,Medium,No,2,Physical business,3,0,1,Embakasi
131,High,High,High,High,High,High,High,No,5,Physical business,5,0,1,Embakasi
132,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,2,Physical business,3,0,1,Embakasi
135,High,High,High,High,High,High,High,No,5,Physical business,6,0,1,Embakasi
138,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,3,Physical business,3,0,1,Embakasi
175,High,High,Medium,High,Medium,High,High,No,2,Online business,2,0,1,Embakasi
177,High,High,High,High,High,High,High,No,1,Online business,1,0,0,Embakasi
178,High,Medium,High,High,High,High,High,No,3,Physical business,3,0,0,Embakasi
182,High,High,Medium,High,High,High,High,No,2,Physical business,2,0,0,Embakasi
183,High,High,High,High,High,High,High,No,2,Physical business,2,0,1,Embakasi
184,High,High,Medium,High,High,High,High,No,2,Physical business,2,0,1,Embakasi
185,High,High,High,High,High,High,High,No,1,Physical business,1,1,1,Embakasi
186,High,Low,Medium,Medium,High,High,High,No,4,Physical business,4,0,0,Embakasi
187,High,High,Medium,High,Medium,High,High,No,3,Physical business,5,0,1,Embakasi
188,High,Medium,High,High,High,High,High,No,1,Physical business,1,0,1,Embakasi
189,High,High,High,High,High,Medium,Medium,No,0,Physical business,1,0,1,Embakasi
190,High,High,High,High,High,High,High,Yes,6,Physical business,6,0,1,Embakasi
191,High,Medium,High,High,High,Medium,High,No,4,Physical business,4,0,1,Embakasi
192,High,High,Medium,High,High,High,High,No,4,Physical business,4,0,0,Embakasi
193,High,High,High,High,High,Medium,High,No,1,Physical business,1,1,1,Embakasi
194,High,High,Medium,High,High,High,High,No,3,Online business,3,0,1,Embakasi
196,High,High,High,High,High,High,High,No,2,Online business,3,0,1,Embakasi
197,High,High,High,High,High,High,High,No,2,Physical business,3,0,1,Embakasi
198,High,High,High,High,High,High,High,No,1,Physical business,1,0,1,Embakasi
199,High,High,High,High,High,High,High,No,1,Physical business,1,0,1,Embakasi
200,Medium,Low,Medium,Medium,Medium,Low,Medium,No,2,Online business,3,0,1,Embakasi
201,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,3,Physical business,5,0,1,Embakasi
202,Medium,High,Medium,Medium,High,Medium,Medium,No,0,Online business,3,0,1,Embakasi
203,High,High,High,High,High,High,Medium,No,1,Physical business,1,0,0,Embakasi
204,High,High,High,High,High,High,High,Yes,3,Physical business,0,0,0,Embakasi
205,High,Medium,Medium,Medium,Medium,High,High,No,2,Physical business,2,0,1,Embakasi
206,High,Medium,Medium,Medium,Medium,Medium,High,No,3,Physical business,3,0,0,Embakasi
207,High,High,High,High,High,High,High,Yes,3,Online business,4,0,1,Embakasi
208,High,High,High,High,High,High,High,No,1,Physical business,1,0,1,Embakasi
209,Medium,High,High,High,Medium,High,High,Yes,2,Online business,4,0,1,Embakasi
210,High,Medium,High,High,High,High,Medium,Yes,2,Online business,2,0,1,Embakasi
211,High,Medium,High,High,High,High,High,No,2,Physical business,2,0,1,Embakasi
212,High,High,High,High,High,High,High,No,3,Physical business,3,1,1,Embakasi
213,High,High,Medium,High,High,High,High,Yes,5,Physical business,5,0,1,Embakasi
214,High,High,High,High,High,High,High,Yes,2,Physical business,2,0,0,Embakasi
215,High,High,High,High,High,High,High,Yes,6,Online business,6,0,1,Embakasi
216,High,High,High,High,High,High,High,Yes,5,Physical business,5,0,1,Embakasi
217,High,Medium,High,High,High,High,High,No,1,Physical business,0,0,0,Embakasi
218,High,Low,Medium,Medium,Medium,High,Medium,No,1,Physical business,1,0,0,Embakasi
219,High,High,High,High,High,High,High,No,1,Physical business,1,0,1,Embakasi
220,High,Medium,High,High,Medium,High,High,No,2,Online business,2,0,1,Embakasi
221,High,High,High,High,High,High,High,No,0,Physical business,3,0,1,Embakasi
222,High,High,High,High,High,Medium,High,No,1,Physical business,1,0,1,Embakasi
